code,product,desc,price
6923,strategy,lectus pellentesque at nulla suspendisse,11.07
3467,framework,odio porttitor id consequat in consequat ut nulla sed,22.42
4250,Multi-tiered,orci mauris lacinia sapien quis libero nullam sit,24.27
9173,Stand-alone,nulla facilisi cras non velit nec nisi vulputate,5.56
585,firmware,hac habitasse platea dictumst aliquam augue quam sollicitudin,39.86
5676,algorithm,volutpat erat quisque erat eros viverra,10.87
3577,responsive,aliquet ultrices erat tortor sollicitudin mi sit,67.66
3291,Fully-configurable,in est risus auctor sed tristique in tempus sit,10.62
916,disintermediate,quis tortor id nulla ultrices aliquet maecenas leo,21.06
1509,Fundamental,nulla neque libero convallis eget,16.7
3364,Innovative,duis ac nibh fusce lacus purus,93.7
7935,Mandatory,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,28.94
8828,synergy,luctus et ultrices posuere cubilia curae nulla dapibus dolor,56.0
6703,moratorium,dui maecenas tristique est et tempus semper est quam pharetra,68.23
2594,cohesive,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,75.33
8381,Polarised,lectus pellentesque eget nunc donec quis orci eget orci,51.35
4242,4th generation,in quis justo maecenas rhoncus aliquam lacus,26.11
3566,frame,tincidunt eget tempus vel pede,10.19
27,application,mauris vulputate elementum nullam varius nulla,49.25
6727,heuristic,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,88.87
9527,infrastructure,blandit ultrices enim lorem ipsum dolor sit,79.43
7846,stable,maecenas tristique est et tempus semper est quam,35.16
1961,Configurable,vestibulum sit amet cursus id turpis integer aliquet massa id,8.75
4626,protocol,diam in magna bibendum imperdiet nullam orci pede venenatis,6.74
1092,moratorium,non interdum in ante vestibulum ante ipsum primis in,89.81
188,Virtual,sapien placerat ante nulla justo,90.44
4379,coherent,posuere metus vitae ipsum aliquam non,79.21
5818,open architecture,nisl aenean lectus pellentesque eget nunc,28.1
5757,customer loyalty,elit sodales scelerisque mauris sit amet eros suspendisse,35.29
5884,website,in porttitor pede justo eu massa,74.23
3849,success,felis fusce posuere felis sed lacus morbi sem mauris,91.44
6224,access,fusce posuere felis sed lacus morbi,83.11
581,context-sensitive,at turpis a pede posuere nonummy integer non velit donec,76.67
3834,infrastructure,sed nisl nunc rhoncus dui vel sem sed sagittis nam,48.86
126,contingency,venenatis turpis enim blandit mi in porttitor pede justo eu,84.2
2699,client-server,at dolor quis odio consequat varius integer ac,79.79
984,methodical,in blandit ultrices enim lorem ipsum,33.56
237,challenge,posuere metus vitae ipsum aliquam non,53.73
2348,Operative,lectus suspendisse potenti in eleifend quam,39.69
1805,application,vestibulum sagittis sapien cum sociis natoque penatibus et magnis,65.75
4749,data-warehouse,sed justo pellentesque viverra pede ac diam cras,7.65
7655,utilisation,ultricies eu nibh quisque id justo sit,35.44
4152,moderator,potenti nullam porttitor lacus at,63.17
8174,6th generation,sed tristique in tempus sit amet sem,64.36
7646,synergy,eget tincidunt eget tempus vel pede morbi,52.97
4948,service-desk,posuere cubilia curae duis faucibus accumsan odio curabitur convallis,48.88
4874,product,donec diam neque vestibulum eget vulputate ut ultrices,7.7
8898,24/7,eros viverra eget congue eget semper rutrum nulla nunc purus,50.09
2785,hardware,ante vel ipsum praesent blandit lacinia erat vestibulum sed,19.68
933,architecture,sed accumsan felis ut at dolor quis odio consequat varius,46.3
4646,fault-tolerant,consectetuer adipiscing elit proin risus,22.31
5755,algorithm,felis donec semper sapien a libero nam dui proin,32.39
6169,architecture,penatibus et magnis dis parturient montes nascetur ridiculus,47.18
3405,Expanded,turpis enim blandit mi in,10.13
1925,6th generation,aenean lectus pellentesque eget nunc donec quis,66.46
948,Synergized,ut odio cras mi pede malesuada in,8.93
5476,structure,suscipit a feugiat et eros vestibulum ac est,55.04
8125,Business-focused,mi nulla ac enim in tempor turpis nec euismod scelerisque,59.4
2023,national,id ligula suspendisse ornare consequat lectus in est risus auctor,86.74
193,middleware,quis lectus suspendisse potenti in eleifend quam a odio,38.39
7360,national,turpis elementum ligula vehicula consequat morbi a,4.21
3987,Mandatory,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,75.28
9581,eco-centric,lectus in quam fringilla rhoncus mauris,66.87
8497,Future-proofed,pellentesque ultrices mattis odio donec vitae nisi,89.15
4244,actuating,mi integer ac neque duis bibendum morbi,27.89
2267,approach,tellus semper interdum mauris ullamcorper purus sit amet nulla,78.69
6111,static,nam dui proin leo odio porttitor id,3.87
137,grid-enabled,erat volutpat in congue etiam,26.22
6650,eco-centric,eu felis fusce posuere felis sed lacus,2.82
5566,foreground,ridiculus mus etiam vel augue vestibulum,51.99
4785,complexity,in magna bibendum imperdiet nullam orci pede venenatis non,44.55
5499,alliance,diam cras pellentesque volutpat dui maecenas,92.16
4268,implementation,nulla eget eros elementum pellentesque quisque,77.43
7309,neutral,quis tortor id nulla ultrices aliquet maecenas,8.83
9777,cohesive,nec molestie sed justo pellentesque viverra pede ac diam,17.21
6229,multi-tasking,vestibulum vestibulum ante ipsum primis in,29.18
2132,analyzing,nulla integer pede justo lacinia,24.66
9764,firmware,faucibus orci luctus et ultrices posuere cubilia curae nulla,48.38
5935,adapter,sit amet eleifend pede libero quis orci nullam molestie,98.05
7722,zero tolerance,nulla ac enim in tempor turpis,63.71
2172,disintermediate,eget eros elementum pellentesque quisque,20.77
9559,software,fusce consequat nulla nisl nunc,67.97
3569,Synergized,hac habitasse platea dictumst aliquam augue quam sollicitudin,78.21
1720,incremental,turpis integer aliquet massa id lobortis,72.15
691,architecture,morbi vel lectus in quam fringilla rhoncus,82.54
141,analyzer,aliquet massa id lobortis convallis tortor risus,40.23
7873,ability,vel sem sed sagittis nam congue risus semper porta,2.33
5734,Proactive,vulputate justo in blandit ultrices enim lorem ipsum,41.62
7748,Secured,tincidunt eget tempus vel pede morbi porttitor lorem,58.25
2569,Centralized,in hac habitasse platea dictumst etiam faucibus cursus urna ut,16.48
6026,Configurable,pulvinar sed nisl nunc rhoncus,52.8
871,global,vulputate elementum nullam varius nulla facilisi,83.22
4074,model,sed ante vivamus tortor duis,12.3
5648,Open-architected,eu magna vulputate luctus cum sociis natoque penatibus et magnis,15.54
5894,software,cubilia curae nulla dapibus dolor vel,52.12
214,utilisation,nulla suspendisse potenti cras in purus eu,80.25
6488,cohesive,interdum mauris ullamcorper purus sit amet,31.96
2157,moderator,orci vehicula condimentum curabitur in libero ut massa,85.91
6146,multi-state,at turpis donec posuere metus,73.18
1306,Robust,lobortis ligula sit amet eleifend pede libero quis orci nullam,43.73
4754,next generation,at nunc commodo placerat praesent,6.91
4058,capacity,id consequat in consequat ut,87.13
3628,asymmetric,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,56.56
9694,Versatile,in tempus sit amet sem fusce consequat nulla nisl nunc,47.32
8731,impactful,hac habitasse platea dictumst morbi vestibulum velit id,15.51
3589,algorithm,nec nisi vulputate nonummy maecenas tincidunt lacus at velit,80.13
3516,scalable,eu orci mauris lacinia sapien quis libero nullam,15.78
8068,alliance,proin leo odio porttitor id consequat,63.0
620,productivity,nisl nunc rhoncus dui vel sem sed,34.84
9204,internet solution,pede libero quis orci nullam molestie,33.4
8685,Intuitive,quisque porta volutpat erat quisque erat,47.64
3678,full-range,vitae quam suspendisse potenti nullam porttitor lacus at,40.45
923,Enterprise-wide,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,5.83
2567,Multi-tiered,tristique fusce congue diam id ornare,45.0
6284,incremental,id mauris vulputate elementum nullam varius nulla facilisi cras non,70.7
6353,User-friendly,mi in porttitor pede justo eu massa donec dapibus,48.72
8012,Secured,velit eu est congue elementum in hac,32.75
3471,empowering,quam sapien varius ut blandit,69.79
917,6th generation,rutrum at lorem integer tincidunt ante vel,64.5
3504,modular,eu sapien cursus vestibulum proin eu mi,97.84
9577,client-server,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,61.45
5373,throughput,mattis odio donec vitae nisi nam ultrices libero,80.26
8671,grid-enabled,id nisl venenatis lacinia aenean sit amet justo,30.18
3704,Total,vitae nisi nam ultrices libero non mattis pulvinar,12.73
3682,Decentralized,aliquet pulvinar sed nisl nunc rhoncus dui vel,58.8
863,firmware,sem fusce consequat nulla nisl nunc,38.07
7237,Seamless,lobortis ligula sit amet eleifend pede libero quis orci nullam,61.27
4858,intermediate,nullam sit amet turpis elementum ligula vehicula consequat,19.41
1557,attitude,odio consequat varius integer ac leo pellentesque,60.98
388,Public-key,pede malesuada in imperdiet et commodo vulputate justo in,81.92
534,flexibility,convallis morbi odio odio elementum eu interdum eu tincidunt in,15.16
5030,Extended,in libero ut massa volutpat convallis,70.75
