code,date,clientID,resTaxID,status
618817,2020-03-11 21:06:25,77499,81220,IN_PROCESS
886629,2019-01-02 04:58:13,74215,13874,IN_PROCESS
922624,2019-03-19 13:40:07,40834,36101,IN_PROCESS
926484,2018-07-16 19:13:35,7144,7628,IN_PROCESS
391476,2019-01-07 21:41:07,12543,12633,REQUESTED
745657,2020-04-03 06:23:15,31133,23461,SHIPPED
220756,2017-10-26 20:27:37,2885,76267,IN_PROCESS
135218,2020-02-14 12:21:09,94392,92041,SHIPPED
243873,2020-05-16 14:46:04,52065,12718,REQUESTED
519858,2019-01-06 03:53:57,33325,99716,SHIPPED
998587,2019-08-08 17:25:23,79823,52152,REQUESTED
667261,2019-05-21 23:52:24,18699,34191,DELIVERED
49229,2018-05-21 10:24:25,79851,92336,DELIVERED
947246,2019-02-28 18:45:50,9348,30782,IN_PROCESS
74747,2018-01-15 11:50:00,94438,67771,IN_PROCESS
362894,2019-03-01 23:53:57,86259,24240,REQUESTED
306503,2020-07-24 12:42:44,8114,34833,REQUESTED
89343,2018-01-11 07:48:25,42393,93438,REQUESTED
64901,2019-06-10 00:36:08,40168,50695,REQUESTED
532886,2019-09-21 18:45:49,66432,51275,DELIVERED
862045,2019-11-03 09:13:36,75052,68319,SHIPPED
244434,2019-06-15 15:33:29,83313,11611,DELIVERED
29817,2019-11-12 03:58:46,29809,39062,IN_PROCESS
80460,2019-12-28 10:07:53,80297,14664,DELIVERED
496960,2020-05-19 06:09:54,95273,97884,SHIPPED
824614,2019-01-09 13:55:46,79523,42310,IN_PROCESS
872914,2018-12-09 01:10:04,4513,88582,REQUESTED
477458,2020-09-17 05:21:47,28405,32041,SHIPPED
218069,2017-12-05 20:31:16,48541,41198,IN_PROCESS
711956,2020-07-28 19:19:41,51483,98995,IN_PROCESS
510288,2020-03-13 17:05:46,82961,14820,IN_PROCESS
994392,2019-02-02 18:01:40,77424,56548,REQUESTED
566891,2017-10-26 00:08:32,2981,88530,REQUESTED
989679,2020-05-23 05:59:07,40651,5288,SHIPPED
132870,2020-07-22 21:35:26,66513,60790,REQUESTED
200150,2019-01-02 19:59:34,88602,57677,SHIPPED
896084,2019-11-04 10:38:26,19604,21586,IN_PROCESS
344868,2019-10-28 23:29:03,54916,12371,SHIPPED
403982,2018-06-24 00:09:51,40507,33508,REQUESTED
708882,2019-11-12 08:38:04,65912,12977,SHIPPED
616398,2018-05-18 18:56:58,77702,85841,DELIVERED
529031,2019-04-08 20:05:25,43194,82706,SHIPPED
457534,2019-11-18 03:00:12,55700,55248,REQUESTED
955346,2019-07-14 19:03:03,2731,69799,IN_PROCESS
20594,2017-10-13 04:48:00,89957,65634,IN_PROCESS
350354,2018-03-23 19:06:10,5841,29729,DELIVERED
637846,2018-01-26 02:21:06,98772,99182,SHIPPED
755367,2018-09-12 08:27:57,79294,74400,SHIPPED
451426,2018-05-10 12:02:27,13186,56487,REQUESTED
379843,2020-03-01 16:07:38,77768,58440,IN_PROCESS
663515,2018-09-09 22:42:31,85812,42939,IN_PROCESS
232735,2019-01-04 19:02:43,30782,25445,IN_PROCESS
269218,2019-09-28 05:25:43,8104,53874,IN_PROCESS
37675,2020-05-03 23:38:01,33493,74396,REQUESTED
489334,2019-10-21 23:00:06,77376,17608,REQUESTED
615477,2018-02-24 19:48:47,17671,29161,DELIVERED
675211,2019-02-28 11:37:39,19112,29969,IN_PROCESS
396138,2018-02-20 10:30:43,30759,92600,IN_PROCESS
362760,2018-06-23 11:19:24,55831,56210,DELIVERED
564711,2019-01-25 14:26:43,35118,22323,DELIVERED
386044,2018-08-14 14:56:17,67264,77658,IN_PROCESS
569309,2020-03-31 11:40:16,53903,45815,REQUESTED
140111,2017-12-26 08:17:59,42492,4841,REQUESTED
376706,2020-05-11 01:33:36,51864,13492,SHIPPED
122119,2019-08-17 17:10:58,36815,76930,REQUESTED
146377,2018-06-09 17:56:21,18578,94243,SHIPPED
775527,2019-03-29 10:12:26,12292,6526,IN_PROCESS
187163,2019-11-06 10:55:59,67757,85465,SHIPPED
497277,2018-09-30 05:09:16,88613,61393,IN_PROCESS
811225,2017-11-01 09:35:51,28087,4887,SHIPPED
656684,2020-01-02 16:04:20,90762,15183,IN_PROCESS
403963,2020-07-19 16:36:43,51194,22206,SHIPPED
899692,2019-10-17 03:13:53,33244,25521,REQUESTED
533813,2019-05-28 22:10:10,39501,28174,DELIVERED
333158,2018-05-02 23:09:09,43107,78836,REQUESTED
98754,2019-09-14 01:48:02,99528,52368,REQUESTED
496924,2019-12-31 16:39:47,80799,81475,SHIPPED
932184,2018-11-29 01:32:35,14301,53573,SHIPPED
223993,2020-02-06 15:03:06,7114,17610,IN_PROCESS
573281,2018-07-06 08:27:57,95005,15452,IN_PROCESS
377084,2019-03-11 21:38:23,5149,19725,DELIVERED
26806,2019-07-03 22:18:02,55196,11533,REQUESTED
230762,2019-07-13 20:14:35,57612,58436,SHIPPED
214167,2019-02-20 19:57:55,86313,8885,REQUESTED
900683,2018-05-26 00:55:58,33753,58740,SHIPPED
984542,2020-08-22 08:56:18,62539,11568,REQUESTED
520707,2019-05-04 06:39:48,67573,99386,REQUESTED
605889,2019-10-06 04:52:16,69225,31839,IN_PROCESS
552815,2019-11-05 22:46:03,17403,66091,SHIPPED
705893,2020-06-19 23:18:54,94086,11276,SHIPPED
786679,2020-05-12 19:43:59,99367,48887,REQUESTED
869298,2019-05-13 13:49:53,82975,73259,SHIPPED
58324,2019-03-26 06:13:48,87746,61102,IN_PROCESS
686507,2019-04-26 04:41:59,59958,46634,DELIVERED
495015,2018-08-05 23:35:29,63116,12193,IN_PROCESS
219576,2017-12-06 06:53:58,57630,84430,REQUESTED
971519,2017-11-19 20:18:13,40664,63509,REQUESTED
185767,2017-11-08 13:42:25,72357,80891,SHIPPED
493241,2019-10-25 06:58:52,1114,55162,SHIPPED
471922,2018-06-10 06:53:01,16886,71593,DELIVERED
320525,2019-06-07 13:13:03,29013,43372,REQUESTED
122335,2018-07-02 23:03:09,81766,7666,DELIVERED
341758,2020-05-18 03:01:10,59815,79954,SHIPPED
438954,2020-03-22 01:05:19,37904,82348,DELIVERED
809978,2018-08-23 05:28:51,49342,82177,IN_PROCESS
92190,2019-03-23 08:20:56,92732,56041,SHIPPED
561950,2020-05-07 04:32:31,72171,80362,REQUESTED
590175,2020-06-18 20:33:39,15686,62646,SHIPPED
179323,2020-07-23 09:54:54,68088,31714,SHIPPED
780588,2019-12-28 15:22:22,20021,81391,REQUESTED
193111,2019-05-19 14:30:16,24391,80694,DELIVERED
909410,2018-07-20 05:35:40,98004,8733,IN_PROCESS
656435,2018-02-05 19:58:11,27755,92566,REQUESTED
742703,2018-02-27 03:33:56,36708,87592,SHIPPED
227966,2019-10-21 21:52:26,91630,19784,REQUESTED
317186,2018-11-10 04:19:12,84727,83021,REQUESTED
551248,2018-10-31 03:29:06,68635,26732,DELIVERED
584144,2019-01-06 11:18:50,40465,44426,REQUESTED
460907,2019-05-14 13:07:46,44084,79737,DELIVERED
329336,2020-07-24 18:39:13,29774,27764,DELIVERED
826030,2020-01-07 19:18:44,16255,31067,IN_PROCESS
776179,2019-04-03 18:14:56,49386,69794,IN_PROCESS
505109,2020-04-01 11:56:58,36825,19004,SHIPPED
683694,2018-09-12 16:27:19,29848,41978,REQUESTED
605950,2020-03-15 16:45:08,29146,96725,IN_PROCESS
664297,2020-03-17 03:08:45,22857,68377,REQUESTED
668273,2018-03-21 09:29:41,44764,83278,SHIPPED
672772,2017-09-26 09:32:36,36310,13902,DELIVERED
403470,2019-07-23 09:48:18,27174,7571,IN_PROCESS
380950,2018-05-24 06:41:30,73535,66135,DELIVERED
467895,2019-07-23 14:09:05,45795,22467,DELIVERED
838928,2018-11-01 16:43:47,87535,25581,REQUESTED
828693,2020-04-10 12:52:47,52804,90808,DELIVERED
451714,2018-11-16 16:54:17,9055,75862,DELIVERED
310229,2018-10-31 08:53:23,18361,14936,DELIVERED
303750,2019-12-12 14:31:35,36755,88579,IN_PROCESS
325203,2020-05-04 08:31:09,25881,69694,REQUESTED
645129,2019-05-21 04:10:02,56497,92773,IN_PROCESS
578321,2017-11-22 07:33:39,78701,65005,REQUESTED
696046,2019-08-25 21:22:26,83014,21601,REQUESTED
139646,2018-03-12 17:17:31,24025,79847,SHIPPED
794565,2018-09-06 01:56:21,6963,48851,DELIVERED
463825,2019-01-26 22:02:41,64770,67815,DELIVERED
867558,2020-04-26 21:21:35,91035,66061,SHIPPED
279105,2018-11-21 18:01:18,43585,86412,DELIVERED
158722,2018-04-28 06:00:56,7757,34245,SHIPPED
439370,2017-10-30 19:38:14,82239,34321,DELIVERED
210433,2018-11-11 20:55:56,11833,57840,SHIPPED
809054,2019-09-28 15:23:03,51944,97123,IN_PROCESS
639981,2019-10-28 19:51:02,92186,71462,DELIVERED
503917,2018-02-02 21:50:37,39547,65202,IN_PROCESS
676933,2017-10-13 23:10:48,85887,44145,REQUESTED
514888,2019-09-23 04:00:09,59410,94270,IN_PROCESS
215319,2019-11-25 06:36:46,90321,96282,DELIVERED
291826,2019-12-25 09:58:14,68127,55866,DELIVERED
557231,2018-07-15 22:21:14,87607,51774,DELIVERED
330062,2019-02-05 09:09:53,28157,86109,REQUESTED
860328,2018-09-20 14:49:02,81996,82206,IN_PROCESS
212522,2017-11-21 07:55:45,22726,9949,DELIVERED
253653,2020-09-14 13:11:54,62019,54074,IN_PROCESS
588391,2018-12-31 01:17:24,27112,2925,DELIVERED
75305,2018-09-23 03:07:04,18467,56728,SHIPPED
321199,2020-04-13 06:56:16,92858,13792,DELIVERED
681439,2020-04-06 02:05:30,2713,89169,REQUESTED
352966,2020-05-28 02:23:36,99723,40491,REQUESTED
805889,2019-09-28 10:54:36,48449,37610,SHIPPED
707467,2020-05-13 06:40:41,17715,23756,REQUESTED
163889,2017-10-28 17:08:30,47829,75977,REQUESTED
589410,2018-09-15 05:14:52,33050,23538,DELIVERED
844036,2017-10-06 18:45:48,13969,54621,DELIVERED
679501,2018-03-20 03:41:51,40357,47025,REQUESTED
576596,2020-03-03 08:20:47,36815,80786,DELIVERED
796070,2020-03-17 00:09:40,59720,81653,REQUESTED
632043,2018-02-07 21:43:03,36366,38390,SHIPPED
185262,2020-02-09 13:27:20,21191,40112,SHIPPED
714325,2018-11-11 00:02:30,93317,53872,REQUESTED
21548,2018-03-28 09:05:38,48597,46758,SHIPPED
294497,2019-10-12 22:10:35,28837,55964,IN_PROCESS
147591,2019-11-01 15:53:37,75594,39463,IN_PROCESS
377291,2018-11-07 03:42:29,73397,64777,SHIPPED
126463,2020-08-03 10:08:49,40511,98608,SHIPPED
547285,2019-03-08 06:49:41,57743,31928,REQUESTED
537320,2020-08-09 21:31:00,44023,82729,REQUESTED
872221,2020-02-26 06:41:02,18826,67869,SHIPPED
167911,2018-10-23 08:11:57,67103,11146,DELIVERED
975245,2018-04-28 16:38:52,73009,54018,IN_PROCESS
442349,2018-07-02 19:15:25,67036,12389,SHIPPED
968115,2020-08-24 23:53:09,43693,65122,IN_PROCESS
925824,2018-02-11 20:30:06,84464,75512,SHIPPED
472943,2020-07-21 04:36:27,84486,54173,IN_PROCESS
721188,2018-11-19 13:54:12,35017,1100,IN_PROCESS
645668,2020-08-12 21:42:13,16312,69979,REQUESTED
471670,2018-01-19 21:02:31,68675,52148,IN_PROCESS
965401,2018-11-27 05:58:29,88317,10554,SHIPPED
289480,2019-06-03 04:25:06,66038,92241,SHIPPED
215809,2019-07-22 11:50:03,33623,57719,REQUESTED
799825,2017-11-27 01:41:48,48506,50406,REQUESTED
438572,2020-05-22 23:59:29,32507,70346,REQUESTED
490652,2017-11-14 04:48:57,66076,68805,DELIVERED
40698,2019-08-23 13:50:53,96318,87352,REQUESTED
177257,2017-10-22 04:18:29,58562,79825,DELIVERED
839381,2019-05-06 22:38:55,78504,98784,REQUESTED
757695,2019-05-19 03:52:17,35725,77418,IN_PROCESS
533835,2019-06-09 14:38:57,79108,84955,SHIPPED
14700,2020-08-29 18:08:27,40960,34089,IN_PROCESS
479489,2020-09-20 03:53:17,28665,8715,REQUESTED
673331,2019-09-22 07:08:00,96483,88092,REQUESTED
707971,2020-05-03 00:54:33,4122,619,IN_PROCESS
430100,2018-09-04 06:27:15,46606,12925,DELIVERED
600207,2018-02-27 13:58:40,68496,62945,SHIPPED
167156,2019-08-13 08:23:34,35565,20818,REQUESTED
512053,2020-08-13 08:25:51,61773,45881,DELIVERED
924834,2018-04-18 11:03:47,42852,44542,SHIPPED
347018,2017-11-20 13:29:52,30264,34431,SHIPPED
879159,2018-03-10 17:33:54,32968,75399,SHIPPED
357229,2017-12-16 10:34:21,24348,3361,DELIVERED
675276,2018-06-23 14:52:19,23774,74695,IN_PROCESS
826358,2020-03-05 01:51:38,78587,617,DELIVERED
751613,2017-10-19 00:57:36,17979,55853,IN_PROCESS
94550,2020-02-28 06:39:03,4927,56771,IN_PROCESS
494913,2020-03-14 04:45:18,76972,69172,SHIPPED
49262,2019-02-01 14:51:50,33605,49618,REQUESTED
590051,2018-07-13 22:02:50,68676,77792,DELIVERED
461459,2020-02-11 19:15:51,81572,31952,SHIPPED
786479,2020-02-07 20:04:56,61962,36222,DELIVERED
792126,2017-10-07 14:46:52,89972,77950,SHIPPED
798215,2019-10-03 03:53:03,79443,4953,DELIVERED
474106,2018-03-29 07:17:18,75482,36126,IN_PROCESS
462972,2019-03-26 16:46:38,12915,96521,SHIPPED
756812,2019-03-01 05:35:01,87146,18475,REQUESTED
738511,2019-09-13 01:15:48,62081,81484,IN_PROCESS
174154,2018-07-17 01:51:03,17735,68675,IN_PROCESS
276726,2019-09-25 09:39:35,33070,3922,REQUESTED
154490,2019-03-02 23:25:37,12572,37871,SHIPPED
111431,2018-10-16 03:45:35,95294,84683,REQUESTED
784407,2019-11-29 06:25:06,53516,70671,SHIPPED
202957,2018-02-04 03:50:16,53137,78303,SHIPPED
736903,2018-06-25 12:57:33,26219,91360,IN_PROCESS
792539,2020-08-06 10:46:58,72602,83578,IN_PROCESS
849901,2018-03-28 07:09:02,17575,9865,DELIVERED
984842,2018-10-23 13:23:37,80707,71925,IN_PROCESS
460851,2020-03-28 00:11:33,24276,59091,REQUESTED
407205,2020-09-13 20:55:06,26542,82401,IN_PROCESS
423026,2018-05-06 08:08:47,80852,61264,DELIVERED
614895,2020-06-24 09:33:20,93319,59841,SHIPPED
11166,2020-09-22 04:02:31,14412,54550,DELIVERED
821966,2020-04-24 02:47:19,67112,34682,IN_PROCESS
603656,2019-06-14 02:17:29,21112,22836,IN_PROCESS
277519,2017-10-27 21:17:59,90898,37807,SHIPPED
274309,2020-07-06 23:41:03,9619,23902,REQUESTED
18549,2018-01-07 16:39:37,93095,7060,SHIPPED
488386,2019-02-20 18:15:31,75970,48068,REQUESTED
266031,2017-10-05 01:43:49,39166,23222,IN_PROCESS
432358,2019-01-30 14:08:36,9995,3739,REQUESTED
514798,2020-07-17 08:39:26,89518,44169,DELIVERED
601300,2020-06-18 10:53:15,20141,41974,REQUESTED
604197,2018-08-10 22:49:38,32413,44065,SHIPPED
16775,2019-12-18 20:01:42,74568,29257,REQUESTED
427297,2018-07-03 06:46:16,93424,50897,SHIPPED
932290,2020-07-16 06:12:39,59508,20289,SHIPPED
231355,2019-08-05 04:36:18,34566,71522,REQUESTED
304503,2019-07-05 00:15:52,86690,22307,IN_PROCESS
920599,2020-04-27 11:00:29,36060,28677,REQUESTED
747875,2019-06-26 11:59:50,43000,83835,REQUESTED
210173,2018-05-26 08:16:20,4063,78801,IN_PROCESS
716707,2018-07-03 13:32:38,96486,55327,DELIVERED
287093,2020-04-10 05:58:03,43053,75435,SHIPPED
798668,2019-11-10 14:51:44,81246,47796,REQUESTED
730112,2020-08-09 09:40:53,36935,31868,IN_PROCESS
438948,2020-07-02 12:24:30,31760,46803,REQUESTED
818730,2019-02-22 07:34:15,1910,42848,IN_PROCESS
559453,2019-03-24 23:42:28,71818,59513,DELIVERED
7069,2018-02-20 20:14:01,94355,67646,REQUESTED
924193,2019-07-14 23:28:13,49641,93372,SHIPPED
54018,2018-02-01 13:20:39,45015,2526,REQUESTED
971733,2020-09-11 23:25:07,13647,72047,DELIVERED
264159,2019-04-21 19:59:16,63784,93151,IN_PROCESS
839023,2018-10-26 09:55:23,55642,93982,REQUESTED
295963,2019-11-11 21:29:03,42116,47442,IN_PROCESS
428292,2020-05-07 22:01:51,6823,81930,REQUESTED
631303,2019-03-22 21:42:48,47565,28095,IN_PROCESS
506976,2017-11-17 23:30:20,19860,69797,DELIVERED
422277,2019-08-01 04:16:58,51910,59681,REQUESTED
150477,2019-03-12 07:01:47,80563,44569,REQUESTED
959700,2020-07-15 00:34:47,69567,85498,REQUESTED
259809,2018-03-24 18:43:43,3907,57864,SHIPPED
694113,2018-12-25 10:36:35,33634,44818,IN_PROCESS
436343,2019-12-26 03:27:29,66486,90370,REQUESTED
66826,2018-08-04 17:19:44,34160,34253,DELIVERED
273526,2018-06-15 10:42:00,49707,40885,SHIPPED
627898,2020-07-26 07:58:37,47859,52581,DELIVERED
951593,2018-10-08 00:33:31,58946,81437,SHIPPED
378208,2018-05-31 05:40:27,6169,89108,IN_PROCESS
348622,2017-11-05 09:41:10,97863,48922,DELIVERED
848984,2019-07-05 05:43:29,61355,47695,IN_PROCESS
933960,2020-03-18 22:39:01,79284,68354,IN_PROCESS
523757,2019-06-24 23:01:29,91296,17487,IN_PROCESS
373424,2018-05-22 08:01:55,46868,54635,IN_PROCESS
592583,2018-02-19 18:21:56,23686,90714,IN_PROCESS
917268,2020-08-25 21:06:33,55140,75004,DELIVERED
467103,2018-07-20 21:30:54,94677,33258,IN_PROCESS
584429,2019-10-04 02:00:17,80315,6866,REQUESTED
697685,2020-08-20 10:30:58,7617,80498,REQUESTED
529474,2019-03-18 21:41:39,13633,44489,SHIPPED
63469,2018-07-09 13:23:59,48229,277,IN_PROCESS
576886,2020-04-11 15:48:32,44179,65842,DELIVERED
152105,2018-02-20 07:43:39,26682,41023,DELIVERED
594099,2018-05-22 09:45:31,51576,70958,IN_PROCESS
342679,2020-05-19 05:58:46,77931,6667,DELIVERED
178147,2020-08-29 06:50:33,63147,40920,IN_PROCESS
759015,2019-01-03 07:47:19,56024,31635,IN_PROCESS
764979,2018-11-19 08:43:00,15621,23225,IN_PROCESS
59668,2018-03-31 17:31:50,23040,520,DELIVERED
821806,2019-12-04 10:08:42,42017,39826,SHIPPED
39119,2019-11-30 19:07:06,55018,62970,DELIVERED
564508,2017-11-04 17:26:33,67240,55026,IN_PROCESS
916221,2019-05-25 00:56:58,62414,46098,SHIPPED
327729,2020-09-15 07:51:02,72249,87316,REQUESTED
84372,2018-07-06 21:48:51,79788,62071,DELIVERED
488957,2019-07-11 07:31:40,26996,51310,DELIVERED
786263,2019-07-03 11:51:29,46523,10835,SHIPPED
133310,2020-01-15 06:27:04,27184,33775,DELIVERED
674181,2019-07-02 09:01:29,39488,27356,IN_PROCESS
788500,2020-06-22 13:40:32,27534,8826,IN_PROCESS
239361,2018-11-11 20:37:59,98279,46594,SHIPPED
727622,2017-09-27 02:40:12,22317,80452,DELIVERED
626667,2019-05-24 02:25:03,97184,95272,SHIPPED
274536,2017-12-31 03:21:58,78521,39780,DELIVERED
811309,2020-03-13 21:01:17,97533,52545,SHIPPED
588961,2020-09-22 02:14:40,32390,92826,IN_PROCESS
440655,2017-12-26 14:32:40,57494,31700,REQUESTED
905521,2019-04-29 01:55:06,45275,94753,REQUESTED
985192,2017-11-22 19:38:01,94593,74328,SHIPPED
315784,2018-05-23 05:51:52,35888,98552,REQUESTED
706266,2018-05-30 03:05:10,78719,45437,DELIVERED
559412,2018-04-18 05:29:43,89200,70977,IN_PROCESS
829681,2017-12-08 22:08:22,11537,20357,SHIPPED
728981,2019-07-16 22:00:11,38045,94297,IN_PROCESS
883525,2018-08-08 14:39:46,85214,30252,SHIPPED
947058,2018-06-07 04:51:56,99124,88604,REQUESTED
733496,2019-12-13 14:14:54,20122,83704,SHIPPED
488428,2019-03-11 08:03:03,13369,97491,SHIPPED
380609,2019-11-12 21:48:58,6661,19237,DELIVERED
780054,2018-02-07 17:12:41,59343,90461,DELIVERED
197265,2020-04-12 21:41:46,23212,14485,DELIVERED
376855,2019-08-23 05:23:49,62544,44098,REQUESTED
292389,2019-08-07 15:51:20,81096,12159,SHIPPED
199347,2018-08-16 12:17:26,85223,71910,IN_PROCESS
81822,2020-05-29 09:18:40,94115,56053,DELIVERED
973174,2018-06-15 22:47:56,48621,37726,IN_PROCESS
656293,2019-06-07 09:59:58,58367,54688,DELIVERED
671694,2020-09-14 07:25:50,7258,31159,DELIVERED
66843,2018-09-27 21:13:54,46468,37989,REQUESTED
371244,2018-10-09 03:18:11,54920,48806,SHIPPED
527898,2020-03-27 20:53:36,3316,68882,DELIVERED
12697,2020-09-07 07:58:35,92204,57478,SHIPPED
830581,2018-04-09 11:54:07,78672,4806,REQUESTED
716427,2017-10-11 15:44:51,55521,69076,REQUESTED
85524,2018-05-10 18:00:04,20053,15723,SHIPPED
752634,2020-03-27 04:15:37,6054,79852,SHIPPED
342558,2018-02-06 16:41:26,62220,43642,DELIVERED
319966,2018-10-01 00:26:04,51046,78031,DELIVERED
766615,2019-06-10 06:37:30,36360,59985,SHIPPED
785040,2020-08-11 16:23:42,77309,43450,IN_PROCESS
699299,2019-11-13 09:53:02,62240,12486,SHIPPED
330536,2017-11-30 17:58:45,87412,55997,REQUESTED
785629,2019-03-30 16:12:22,48780,8521,REQUESTED
163549,2018-10-19 05:07:30,48839,51080,REQUESTED
474246,2018-11-25 11:24:44,42759,48362,DELIVERED
655952,2018-02-14 10:18:12,2337,88791,SHIPPED
56421,2020-05-22 20:52:54,50190,55960,IN_PROCESS
464490,2018-09-21 22:16:16,59698,56150,IN_PROCESS
511969,2020-07-13 09:29:44,58168,37069,DELIVERED
175615,2018-06-19 23:15:23,78720,14398,SHIPPED
720381,2019-02-26 02:51:07,20243,40446,REQUESTED
118344,2018-10-23 06:08:28,89414,39609,IN_PROCESS
78217,2018-08-10 03:43:32,71064,84589,DELIVERED
573609,2019-01-03 06:45:11,39988,48195,IN_PROCESS
888473,2018-10-20 17:23:14,36170,43678,IN_PROCESS
148281,2018-11-11 05:05:03,39441,6269,SHIPPED
508282,2020-05-30 07:08:49,40012,43535,DELIVERED
567015,2018-05-21 21:29:57,98164,56059,SHIPPED
308780,2019-12-12 02:55:50,27898,33222,DELIVERED
690261,2018-06-20 11:24:39,3726,69292,SHIPPED
561186,2018-06-25 20:20:39,70021,25545,REQUESTED
213300,2020-07-29 04:50:59,58890,27366,REQUESTED
669030,2018-12-09 16:31:42,79607,33063,IN_PROCESS
910467,2018-01-16 14:56:06,61228,22625,DELIVERED
561155,2018-07-20 19:37:24,35259,11939,IN_PROCESS
429120,2018-07-18 12:44:10,66343,30475,DELIVERED
951143,2018-12-24 06:27:42,52502,83319,REQUESTED
590488,2020-05-13 23:31:12,62205,28428,SHIPPED
56676,2019-02-28 18:42:49,70550,94622,REQUESTED
373875,2017-09-28 14:08:19,92746,32243,IN_PROCESS
992670,2019-03-29 07:46:43,46018,8456,REQUESTED
964848,2020-02-07 08:11:20,80924,67637,REQUESTED
938029,2019-08-04 15:37:45,35134,50615,DELIVERED
767536,2019-07-24 15:56:33,1637,8917,IN_PROCESS
944712,2018-11-19 03:11:37,56971,3674,REQUESTED
313850,2018-05-08 19:01:39,99939,61294,REQUESTED
504061,2020-04-07 17:10:24,2436,94513,REQUESTED
99344,2018-02-20 03:01:47,64961,25989,DELIVERED
605663,2019-09-05 05:01:39,42500,24122,DELIVERED
141105,2019-05-04 07:16:47,6944,4950,IN_PROCESS
517268,2017-09-24 10:48:48,27137,30270,IN_PROCESS
152509,2018-06-19 16:05:09,56046,8041,REQUESTED
380844,2017-12-26 20:03:48,3285,84791,DELIVERED
